Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,OWS/48,DWS/48,Shot%,Team Mar,Team MP,Team Gm,Year 3PAr,Team TS%,Tm USG,Tm TS W/O Plyr,Reb/Vers,Defense,Val/Shot,Offense,MPG + Int,RAW SPM,%Min,RAW Contrib,Tm Sum,Tm Adj,BPM,StdErr,Contrib,VORP,Reb/Vers,Val/Shot,Offense,Defense,MPG,Raw OBPM,Contrib,Tm Ortg,Tm Sum,Tm Adj,Tm DRtg,OBPM,OStdErr,Ocontrib,OVORP,DBPM,DStdErr,Dcontrib,DVORP,Sum SPM,%Min,MPG,ReMPG,BPM,Contrib,VORP,VORP-Gm,O-BPM,Ocontrib,OVORP,"OVORP
Gm",D-BPM,Dcontrib,DVORP,"DVORP
Gm",Exp BPM,"TrueTalent
BPM","Exp%
Min","TrueTalent
VORP",TrueTimeVORP,WORP,O-WORP,D-WORP,Adjusted WORP,Estimated Position,BBRef Pos,Age on Feb 1,Yrs Experience,Height,Weight,Rounded Position,Rounded Age,Playoffs
2015,DAL,Monta Ellis,29,80,2699,16.5,0.509,0.21,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,1.4,2.2,3.6,0.065,0.7,-0.7,-0.1,1.3,0.025,0.04,24.6,3.64,19881,82,0.268,0.55,350251,0.559,-0.56,1.07,0.02,-2.84,0.97,-1.37,0.68,-0.93,-2.3,1.33,0,2.1,0,1.3,-0.3,0.2,-0.9,0.4,0.5,0,0,4.1,1.4,0.7,-0.4,0.7,1.4,0.5,1.6,-0.7,1.5,-0.5,-0.3,1.4,0.7,33.7,32.1,0,0,1.3,1.4,0.7,0.5,1.6,1.7,-0.7,-0.5,-0.3,-0.3,1.8,0.8,0.62,1.7,1.2,3.6,4.4,-0.8,3.3,1,2,29.27,9,75,185,1,29,Y
2015,NOP,Tyreke Evans,25,79,2690,17.7,0.508,0.195,0.25,3.5,14.1,8.8,32.7,2,1,16,26.1,2.4,2.2,4.6,0.082,1.7,0.1,1.9,2.6,0.043,0.039,21.9,1.16,19782,82,0.268,0.537,346147,0.544,4.35,0.17,0.25,-3.82,1,1.7,0.68,1.15,0.45,0.19,1.9,2.1,1.3,2.6,1.2,0.3,-0.8,0.2,0.5,1.4,1,2.6,1.5,0.3,-1.4,1.7,1.4,1.2,2.3,0.1,1.5,0.1,0.3,1.6,0.7,34.1,32.4,1.9,1.3,2.6,2.7,1.7,1.2,2.3,2.4,0.1,0.1,0.3,0.3,1.5,1.7,0.73,2.7,2.8,7.1,6.3,0.8,7.6,2.1,3,25.37,5,78,220,2,25,Y
2015,MEM,Marc Gasol,30,81,2687,21.7,0.558,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,5.5,4.7,10.2,0.182,1.3,3.5,4.8,4.6,0.098,0.084,21.6,3.94,19904,82,0.268,0.531,348101,0.526,2.83,1.01,0.11,-0.97,0.9,3.78,0.68,2.55,-0.24,0.99,4.8,2.1,3.2,4.6,0.5,0.3,0.2,-0.2,0.5,1.3,0.9,-0.1,-0.1,0,4,1.3,1.4,0.9,2,3.5,1.5,2.3,2.5,-2.2,0.7,33.2,31.6,4.8,3.2,4.6,4.6,1.3,0.9,2,2,3.5,2.3,2.5,2.6,1.7,3.4,0.73,3.9,4.9,12.3,5.5,6.9,13.3,5,5,30.01,6,85,255,5,30,Y
2015,CHI,Pau Gasol,34,78,2681,22.7,0.55,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,6,4.4,10.4,0.187,0.7,2.1,2.8,3.2,0.108,0.079,22.1,2.88,19881,82,0.268,0.536,346370,0.533,2.56,-0.12,-0.01,-0.85,1.04,2.63,0.67,1.77,2.65,0.16,2.8,2.1,1.9,3.2,0.8,0.2,-0.2,-0.5,0.5,0.9,0.6,2,3.1,-0.1,0.9,0.7,1.4,0.5,1.6,2,1.5,1.4,1.6,-1.3,0.7,34.4,32.7,2.8,1.9,3.2,3.4,0.7,0.5,1.6,1.7,2,1.4,1.6,1.7,1.8,2.3,0.73,3.1,3.5,8.7,4.4,4.3,9.4,5,4,34.57,13,84,250,5,35,Y
2015,SAC,Ben McLemore,21,82,2670,10.4,0.552,0.471,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,0.045,0.4,-1.3,-0.8,0.8,0.031,0.014,14.9,-3.27,19855,82,0.268,0.542,338426,0.54,-2.63,-0.67,0.01,1.59,0.83,-0.88,0.67,-0.59,-4.06,0.03,-0.9,2.1,-0.6,0.8,-1.1,0.3,0.3,0,0.4,0,0,-0.2,-2.2,0.4,-3.1,0.4,1.4,0.3,1.4,-1.3,1.5,-0.8,-0.6,1.7,0.7,32.6,31,-0.9,-0.6,0.8,0.8,0.4,0.3,1.4,1.4,-1.3,-0.8,-0.6,-0.6,0.5,-0.2,0.48,0.9,0.5,2.1,3.8,-1.7,1.5,1.9,2,21.97,1,77,195,2,22,N
2015,DEN,Ty Lawson,27,75,2665,18.5,0.526,0.221,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,6,1,7,0.126,2.7,-2.1,0.5,1.7,0.108,0.018,17.6,-3.07,19881,82,0.268,0.518,347248,0.516,3.04,-0.58,0.52,-3.25,1.16,0.37,0.67,0.25,-4.49,0.16,0.5,2.1,0.4,1.7,0.8,0.5,1,0.1,0.6,3,2,-1.3,0.4,-0.4,-1.8,2.7,1.4,1.8,2.9,-2.1,1.5,-1.4,-1.2,4.8,0.7,35.5,33.7,0.5,0.4,1.7,1.9,2.7,1.8,2.9,3.2,-2.1,-1.4,-1.2,-1.3,1.1,0.8,0.63,1.8,1.6,4.6,7.9,-3.3,4.3,1,1,27.25,5,71,195,1,27,N
2015,UTA,Gordon Hayward,24,76,2618,20.2,0.567,0.304,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.3,0.1,3.4,3.6,0.106,0.053,22.6,0.79,19705,82,0.268,0.531,336440,0.524,1.6,0.37,0.25,0.22,1.04,3.22,0.66,2.14,0.25,0.14,3.4,2.1,2.2,3.6,0.1,0.5,2,0.2,0.5,3.4,2.3,-0.2,0.3,-0.1,1,3.3,1.4,2.2,3.3,0.1,1.6,0.1,0.3,3.2,0.7,34.4,32.7,3.4,2.2,3.6,3.8,3.3,2.2,3.3,3.6,0.1,0.1,0.3,0.3,1.5,2.5,0.73,3.3,3.9,9.6,8.9,0.7,10.5,2.8,3,24.86,4,80,226,3,25,N
2015,GSW,Stephen Curry,26,80,2613,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,11.5,4.1,15.7,0.288,9.6,0.3,9.9,7.9,0.212,0.076,24.8,10.23,19730,82,0.268,0.572,342913,0.556,4.25,1.16,0.67,2.33,0.84,8.57,0.66,5.68,5.81,1.29,9.9,2.1,6.5,7.9,1.2,0.7,6.3,0.5,0.4,9.1,6,5.5,4.4,0.4,4.8,9.6,1.4,6.3,7.5,0.3,1.6,0.2,0.4,9.2,0.7,32.7,31.1,9.9,6.5,7.9,8.1,9.6,6.3,7.5,7.6,0.3,0.2,0.4,0.4,2.5,6.5,0.73,6.1,8.6,21.2,20.1,1.1,23.2,1,1,26.89,5,75,185,1,27,Y
2015,DET,Kentavious Caldwell-Pope,21,82,2587,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052,-0.2,-0.9,-1,0.6,0.02,0.032,17.9,-1.54,19827,82,0.268,0.515,348020,0.517,-3,-0.22,-0.07,1.62,0.71,-0.89,0.65,-0.58,-1.14,-0.14,-1,2.1,-0.7,0.6,-1.2,0.3,0.8,0.1,0.4,0.5,0.3,-0.2,2.8,-0.6,-1.3,-0.2,1.4,-0.1,1,-0.9,1.6,-0.6,-0.4,0.7,0.7,31.5,30.1,-1,-0.7,0.6,0.6,-0.2,-0.1,1,1,-0.9,-0.6,-0.4,-0.4,0.6,-0.3,0.47,0.8,0.5,1.7,2.7,-1,1.2,2.1,2,21.95,1,77,205,2,22,N
2015,PHO,Markieff Morris,25,82,2581,15.8,0.523,0.163,0.211,4.6,17,10.7,12.4,2,1.2,12.4,23.3,1.8,2.7,4.6,0.085,-0.7,0.5,-0.2,1.2,0.034,0.051,20.4,-0.37,19879,82,0.268,0.537,342976,0.54,0.09,0.27,-0.07,-1.31,0.71,-0.24,0.65,-0.15,-0.79,0.07,-0.2,2.1,-0.1,1.2,-0.2,0.2,-1,0.1,0.4,-0.5,-0.3,-0.5,0.5,-0.2,0.1,-0.7,1.4,-0.4,0.7,0.5,1.6,0.3,0.5,-1.2,0.6,31.5,30,-0.2,-0.1,1.2,1.2,-0.7,-0.4,0.7,0.7,0.5,0.3,0.5,0.5,0.7,0.3,0.54,1.2,1,3.2,1.8,1.4,2.7,3.9,4,25.42,3,82,245,4,25,N
2015,ORL,Victor Oladipo,22,72,2573,15.9,0.527,0.228,0.295,2.2,11.2,6.6,19.3,2.4,0.6,14.3,25.2,1.5,2,3.5,0.065,0.5,-0.5,0,1.3,0.028,0.037,21.6,-6.23,19755,82,0.268,0.525,339398,0.524,0.51,0.46,0.11,-1.43,1.18,0.72,0.65,0.47,-3.81,-0.73,0,2.1,0,1.3,-0.1,0.3,-0.1,0.3,0.6,1.1,0.7,-4.1,-1.8,-0.6,-2.1,0.5,1.4,0.3,1.4,-0.5,1.6,-0.3,-0.1,0.9,0.7,35.7,33.9,0,0,1.3,1.5,0.5,0.3,1.4,1.6,-0.5,-0.3,-0.1,-0.1,0.7,0.3,0.55,1.3,1.1,3.5,3.8,-0.3,3,1.7,2,22.75,1,76,210,2,23,N
2015,MIL,Giannis Antetokounmpo,20,81,2541,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4,6.2,0.117,-1.7,2.1,0.5,1.6,0.041,0.076,16.5,-0.16,19929,82,0.268,0.536,336983,0.534,0.49,0.5,-0.02,-0.9,0.69,0.77,0.64,0.49,1.29,-0.3,0.5,2.1,0.3,1.6,-0.2,0.2,-1.4,-0.1,0.4,-1.1,-0.7,-3.1,-0.8,-0.6,3,-1.7,1.4,-1.1,0,2.1,1.6,1.4,1.6,-3.8,0.6,31.4,29.9,0.5,0.3,1.6,1.6,-1.7,-1.1,0,0,2.1,1.4,1.6,1.6,0.7,0.6,0.59,1.5,1.5,4.3,0,4.2,4,4,2,20.16,1,83,222,4,20,Y
2015,CLE,Kevin Love,26,75,2532,18.8,0.562,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,5.8,2.9,8.7,0.165,2,-0.1,1.9,2.5,0.11,0.055,19.5,4.39,19779,82,0.268,0.557,342773,0.556,0.22,-0.98,0.02,1.17,0.96,1.37,0.64,0.87,2.75,0.5,1.9,2.1,1.2,2.5,-0.3,0.3,1.2,-0.2,0.5,1.6,1,5.5,4.5,0.4,-1.1,2,1.4,1.3,2.4,-0.1,1.6,-0.1,0.1,2.1,0.6,33.8,32.1,1.9,1.2,2.5,2.7,2,1.3,2.4,2.6,-0.1,-0.1,0.1,0.1,1.9,1.9,0.73,2.8,2.8,6.7,6.4,0.3,7.6,4.5,4,26.4,6,82,251,4,26,Y
2015,ORL,Nikola Vucevic,24,74,2529,21.5,0.548,0.005,0.181,10.4,26,18.1,11,1.1,1.7,10.2,26,4.5,2.5,7,0.133,0.7,-0.1,0.5,1.6,0.085,0.048,23.3,-6.23,19755,82,0.268,0.525,339398,0.52,1.3,-0.59,-0.05,-0.48,1,1.24,0.64,0.79,-3.81,-0.73,0.5,2.1,0.3,1.6,0.7,0.2,0,-0.2,0.5,1.3,0.8,-4.1,-1.8,-0.6,-2.1,0.6,1.4,0.4,1.5,-0.1,1.6,-0.1,0.1,0.8,0.6,34.2,32.4,0.5,0.3,1.6,1.8,0.6,0.4,1.5,1.7,-0.1,-0.1,0.1,0.1,0.4,0.5,0.57,1.4,1.4,4.3,4,0.3,3.9,5,5,24.27,3,84,260,5,24,N
2015,CHI,Jimmy Butler,25,65,2513,21.3,0.583,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,8.2,3,11.2,0.214,4.1,0.6,4.7,4.2,0.157,0.057,19.9,2.88,19881,82,0.268,0.536,346370,0.528,0.56,0.54,0.12,1.95,1.5,4.54,0.63,2.87,2.65,0.16,4.7,2.1,3,4.2,0.4,0.4,2.4,0.3,0.8,4.2,2.7,2,3.1,-0.1,0.9,4.1,1.4,2.6,3.6,0.6,1.6,0.4,0.6,3.4,0.6,38.7,36.4,4.7,3,4.2,5.3,4.1,2.6,3.6,4.6,0.6,0.4,0.6,0.7,2.6,3.7,0.73,4.1,4.9,11.4,9.8,1.6,13.1,2.7,2,25.38,3,79,220,3,25,Y
2015,POR,LaMarcus Aldridge,29,71,2512,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,4.9,3.7,8.6,0.165,0.3,0,0.3,1.4,0.094,0.071,28,4.69,19856,82,0.268,0.544,347001,0.548,-0.12,-0.61,-0.15,-1.78,1.13,-1.38,0.63,-0.87,-2.66,1.66,0.3,2.1,0.2,1.4,0,0.1,-0.4,-0.2,0.6,0,0,2.3,1.5,0.3,2.4,0.3,1.4,0.2,1.3,0,1.6,0,0.2,0.3,0.6,35.4,33.5,0.3,0.2,1.4,1.7,0.3,0.2,1.3,1.5,0,0,0.2,0.2,2.2,1.2,0.68,2.2,1.5,3.9,3.4,0.5,4.2,4.6,4,29.54,8,83,240,5,30,Y
2015,DET,Andre Drummond,21,82,2502,21.4,0.504,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,3.4,4.3,7.7,0.147,-1.2,1.1,-0.2,1.2,0.065,0.082,19.9,-1.54,19827,82,0.268,0.515,348020,0.517,-1.59,1.56,-0.25,-0.59,0.59,-0.03,0.63,-0.02,-1.14,-0.14,-0.2,2.1,-0.1,1.2,0.9,0.1,-1.7,-0.2,0.3,-0.6,-0.4,-0.2,2.8,-0.6,-1.3,-1.2,1.4,-0.8,0.3,1.1,1.6,0.7,0.9,-2.3,0.6,30.5,29.1,-0.2,-0.1,1.2,1.2,-1.2,-0.8,0.3,0.3,1.1,0.7,0.9,0.9,0.4,0.1,0.52,1.1,1,3.1,0.8,2.3,2.6,5,5,21.48,2,83,279,5,22,N
2015,CLE,LeBron James,30,69,2493,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.199,6.2,1.2,7.4,5.9,0.143,0.056,27.4,4.39,19779,82,0.268,0.557,342773,0.552,5.5,0.86,0.49,-0.66,1.22,6.92,0.63,4.36,2.75,0.5,7.4,2.1,4.7,5.9,1.3,0.5,3.1,0.2,0.6,5.8,3.7,5.5,4.5,0.4,-1.1,6.2,1.4,3.9,5,1.2,1.6,0.8,0.9,5,0.6,36.1,34.2,7.4,4.7,5.9,7.1,6.2,3.9,5,5.9,1.2,0.8,0.9,1.1,2.3,5,0.73,5.1,6.8,16,13.5,2.5,18.4,2.8,3,30.09,11,80,250,3,30,Y
2015,GSW,Draymond Green,24,79,2490,16.4,0.54,0.43,0.261,5.1,22.4,14,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,0.163,1,4,5,4.4,0.063,0.1,14.9,10.23,19730,82,0.268,0.572,342913,0.575,1.87,1.68,0.04,-0.54,0.7,3.72,0.63,2.34,5.81,1.29,5,2.1,3.2,4.4,0.2,0.3,-0.5,0.2,0.4,0.6,0.3,5.5,4.4,0.4,4.8,1,1.4,0.6,1.7,4,1.6,2.5,2.7,-3,0.6,31.5,30,5,3.2,4.4,4.6,1,0.6,1.7,1.8,4,2.5,2.7,2.8,2.3,3.7,0.73,4.2,5.1,11.9,4.6,7.4,13.7,3.3,4,24.91,2,79,230,3,25,Y
2015,ORL,Elfrid Payton,20,82,2489,13.8,0.456,0.059,0.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,0,2.3,2.3,0.044,-1.5,0.8,-0.7,0.8,0,0.044,14.6,-6.23,19755,82,0.268,0.525,339398,0.533,4.28,1.14,0.13,-5.95,0.57,0.04,0.63,0.03,-3.81,-0.73,-0.7,2.1,-0.4,0.8,1.6,0.2,-3.5,0.5,0.3,-0.9,-0.5,-4.1,-1.8,-0.6,-2.1,-1.5,1.4,-0.9,0.1,0.8,1.6,0.5,0.7,-2.3,0.6,30.4,28.9,-0.7,-0.4,0.8,0.8,-1.5,-0.9,0.1,0.1,0.8,0.5,0.7,0.7,-0.3,-0.5,0.43,0.6,0.6,2.2,0.4,1.9,1.5,1.2,1,20.94,0,76,185,1,21,N
